memory,Time,omid,zmid2,zmid1,t_bar,o,z2,z1,g,b
0.23,0.8017,0.0022463602131182242,0.0001874093566988472,0.024091094686533907,1.799186415386468e-12,1.384984649032225e-13,1.4353844453108475e-16,0.0039044134857359894,0.8483727397197731,0.9801628852125402
0.24,0.8017,0.0022455483685236695,0.00018735333920204196,0.024093519164174078,0.0,4.2301414101264786e-13,0.0,0.0039041207889932194,0.8483740472135604,0.9801592157200226
0.25,0.8017,0.002245094719322316,0.0001871367672512049,0.024095780904180387,2.1646183152529423e-12,2.0663864549351486e-12,0.0,0.0039033379759675427,0.8483375706551272,0.980224416328394
0.26,0.8017,0.0022457140699108586,0.00018719026669047122,0.024094219002453694,6.431473995270325e-13,4.2219497955055617e-16,2.45523910417735e-13,0.003904324794553449,0.8483717087695913,0.9801442559209382
0.27,0.8017,0.0022458454759634217,0.00018719096969767578,0.024092729707411813,0.0,3.8416720697947336e-13,0.0,0.0039042320435297103,0.8483851686425281,0.9801475340074737
0.28,0.8017,0.0022458484118039745,0.00018735346175268735,0.02409195967528766,2.656921558903512e-13,2.6313106270927007e-12,0.0,0.003904148596928143,0.8483831923814483,0.9801605214903036
0.29,0.8017,0.0022453498106930173,0.00018725379189109316,0.024098820619396857,2.1701088322446972e-11,3.837620378609398e-12,0.0,0.003904632303615822,0.8483236099141358,0.9801396424490498
weight is ,0.621
0.0,0.914,0.0024603062508238775,0.00016656758390977563,0.023584944420993938,2.520066445897042e-07,1.5988518590230544e-07,1.3762957301028913e-21,0.011149516368091798,0.6588882979818421,0.9243297865091353
0.01,0.909,0.0024604812498452444,0.00016683852199765188,0.02358493982004805,1.9521975583921796e-07,1.207007970868234e-07,0.0,0.011151875211305869,0.6588622338181713,0.9243132572946967
0.02,0.9041,0.00255353507964736,0.00017843324239728904,0.02384745138266631,5.3043928572244804e-08,4.844396314223178e-08,2.0906502286058384e-10,0.010741070118796424,0.6612802158470394,0.9246652039716633
0.03,0.8995,0.00271148630921187,0.00019998784644259683,0.024260285849308925,4.4681063964767956e-11,2.4165340486641916e-11,1.4251316445088794e-12,0.010045932441604056,0.6656097827544256,0.9251178634901397
0.04,0.8952,0.002877504945045407,0.00022278839099785009,0.02466154054581373,0.0,2.8242535658437063e-13,0.0,0.009385871914527739,0.6692665523629889,0.9258920184141757
0.05,0.8912,0.0030388658366782492,0.00024858232733882614,0.025026155037943563,8.311080552538955e-12,3.286525304921209e-12,1.5157259793093517e-13,0.008744006922927738,0.6730276951663893,0.9264923798122681
0.06,0.8875,0.0032019661708970132,0.00027320710702500006,0.02536751761656372,6.177623961974918e-15,3.5815616385769567e-16,9.564977337608941e-17,0.008123919336871031,0.6766656456657864,0.9270392364942929
0.07,0.8841,0.0033656058531545967,0.00029950518759518465,0.025683064795737856,0.0,3.2023953678583594e-21,3.382588701136885e-20,0.007526136931931623,0.6801363618773638,0.9276090281160615
0.08,0.8809,0.003529718351584489,0.00032702897760234905,0.025984253002946538,1.1688265057074742e-09,8.724641813627348e-19,3.225171809399559e-20,0.0069502401564184016,0.6833824619732132,0.9281598496995173
0.09,0.8781,0.0036953307441064498,0.00035521543802744324,0.02625818924899794,0.0,0.0,0.0,0.006394507306147696,0.6865285913584988,0.9286609006201728
0.1,0.8755,0.0038600237371133705,0.00038855689561959295,0.026516806501487376,0.0,2.814292631256393e-23,0.0,0.005860998756501998,0.6893842532376894,0.9292092773133899
0.11,0.8731,0.0040272860251710655,0.00042053819449091884,0.026753526623987754,3.929324302506193e-14,3.771836609898813e-15,3.1976403612666467e-15,0.00534596573764813,0.6921447391349311,0.9296859358787409
0.12,0.871,0.004197373309956842,0.00045489532356080014,0.026976617530607077,5.794143638635286e-20,6.072242225201161e-21,1.1659725419886945e-20,0.004852340704412465,0.694610734138603,0.9301725670144795
0.13,0.8692,0.00436864452806786,0.000491177215377394,0.027180332357887894,3.6289212079400494e-13,2.5878272148295222e-15,0.0,0.004377719511332662,0.6968917078596267,0.9306665843588339
0.14,0.8675,0.004542538514186172,0.0005297276862261629,0.02736873429879069,1.2388732590078746e-19,2.734473960410221e-21,1.2216121625525982e-20,0.003922818340137649,0.6989394110494563,0.9311159624312373
0.15,0.8669,0.004760280621541957,0.0005605885581900432,0.02720120380634127,3.4583397930975468e-18,2.9201620709e-21,0.0,0.0037026394723224335,0.6944923762863551,0.9431842414739237
0.16,0.8669,0.004761345789729296,0.000560235634238913,0.0272009919636013,1.8160313493170437e-21,5.362142064852756e-23,3.863896487908603e-22,0.0037029890345886838,0.6944781799637788,0.9431840198104949
0.17,0.8669,0.004761484556825717,0.0005603357601882642,0.027199714306379786,0.0,1.8636308644649618e-16,8.607200699450981e-12,0.0037028008432001204,0.6944794608971206,0.9432002026923202
0.18,0.8669,0.00476107514507655,0.0005597216935677453,0.027199952107596147,0.0,0.0,3.941903024588007e-23,0.003702537466044117,0.6945036785962688,0.9431857073034342
0.19,0.8669,0.004761320018277315,0.0005602107276416509,0.027200459760969402,5.621485975690877e-15,1.6905010585512484e-14,0.0,0.0037028520711667946,0.6944822961087251,0.9431897540919534
0.2,0.8669,0.0047609104655008325,0.0005603420571042894,0.02720077714852775,2.1341268770183915e-22,1.2705494208814505e-21,8.501350426697953e-22,0.0037027860195588086,0.6944868018873802,0.9431860234209168
0.21,0.8669,0.004761223546432037,0.0005602123107153071,0.02720107134559621,0.0,0.0,8.201955048226593e-17,0.0037027975798188334,0.6944791808404527,0.9431914193046783
0.22,0.8669,0.004761437680384356,0.000559914731168315,0.02719799679191449,0.0,0.0,0.0,0.0037025934585977792,0.6945046942721866,0.9431953313511962
0.23,0.8669,0.004760985210193995,0.0005602569050954553,0.027200797410698124,7.992266122587292e-15,7.40932809310944e-15,0.0,0.0037026470619137253,0.6944850922284012,0.9431942076738884
0.24,0.8669,0.004761117092512589,0.0005601594336940012,0.027201446995561054,0.0,1.6172066269378156e-12,0.0,0.0037027450142157717,0.6944799481829618,0.9431905421542658
